,species_name,coded_property_name,collapsed_data_maximum,collapsed_data_minimum
226,carex_blanda,leaf_width,3.4mm,0.5mm
227,carex_blanda,plant_height,53cm,14cm
228,carex_bolanderi,fruit_length,2.1mm,1.5mm
229,carex_bolanderi,fruit_width,1.3mm,0.9mm
230,carex_bolanderi,inflorescence_length,40mm;103mm;89mm,33mm;89mm;40mm
231,carex_bolanderi,leaf_width,5.9mm;5.9mm,1.8mm;2.3mm
232,carex_bolanderi,plant_height,115cm,31cm
233,carex_bonanzensis,fruit_length,1.25mm,1mm
234,carex_bonanzensis,inflorescence_length,6cm;4cm,4cm;2cm
235,carex_bonanzensis,inflorescence_width,10mm,5mm
236,carex_bonanzensis,leaf_width,3mm,2mm
237,carex_bonanzensis,plant_height,50cm,20cm
238,carex_brainerdii,fruit_length,2.6mm,2.1mm
239,carex_brainerdii,fruit_width,2.1mm,1.3mm
240,carex_brainerdii,leaf_width,3.8mm,1.8mm
241,carex_brainerdii,plant_height,34cm,6cm
242,carex_brevicaulis,fruit_length,2.4mm,1.9mm
243,carex_brevicaulis,fruit_width,2mm,1.6mm
244,carex_brevicaulis,leaf_width,3.5mm;2mm,2mm;1.3mm
245,carex_brevicaulis,plant_height,19cm,2cm
246,carex_brevior,inflorescence_length,2.5cm;6.5cm;5cm,1.3cm;5cm;2.5cm
247,carex_brevior,inflorescence_width,18mm,5mm
248,carex_brevior,leaf_width,3.5mm,1.5mm
249,carex_brevior,plant_height,120cm,15cm
250,carex_breweri,inflorescence_length,2.5cm,1.4cm
251,carex_breweri,inflorescence_width,12mm,7mm
252,carex_breweri,plant_height,30cm;30cm;22cm,22cm;22cm;15cm
253,carex_bromoides,fruit_length,2.2mm,1.7mm
254,carex_bromoides,fruit_width,1.1mm,0.7mm
255,carex_bromoides,inflorescence_length,53mm;40mm;71mm;21mm;71mm;44mm;63mm;63mm,44mm;33mm;63mm;12mm;63mm;24mm;40mm;21mm
256,carex_bromoides,leaf_width,4.4mm;4.4mm;4.4mm;3.1mm;2.9mm,1.1mm;1.3mm;2.8mm;2.9mm;1.3mm
257,carex_bromoides,plant_height,88cm,23cm
258,carex_brunnescens,fruit_length,1.5mm,1.25mm
259,carex_brunnescens,fruit_width,1mm,0.8mm
260,carex_brunnescens,inflorescence_length,7cm;7cm;7cm;5cm;4cm,5cm;4cm;1.5cm;1.5cm;1.5cm
261,carex_brunnescens,inflorescence_width,6mm,3mm
262,carex_brunnescens,leaf_width,2mm;1.5mm;2.5mm;1mm;1.5mm,0.5mm;1mm;1.5mm;0.5mm;1mm
263,carex_brunnescens,plant_height,60cm;90cm;90cm,15cm;15cm;30cm
264,carex_brysonii,branch_quantity,0.86,0.22
265,carex_brysonii,fruit_length,2.7mm;3.5mm,2.5mm;2.7mm
266,carex_brysonii,fruit_width,1.7mm;1.6mm,1.6mm;1.4mm
267,carex_brysonii,leaf_width,3.7mm;6.1mm;5.8mm,3.4mm;5.8mm;3.7mm
268,carex_brysonii,plant_height,60cm,25cm
269,carex_bulbostylis,branch_quantity,0.94,0.31
270,carex_bulbostylis,fruit_length,3.3mm,2.6mm
271,carex_bulbostylis,fruit_width,2.1mm,1.6mm
272,carex_bulbostylis,leaf_width,3.9mm;3.5mm,3.5mm;2.2mm
273,carex_bulbostylis,plant_height,7.4cm;65cm,3cm;10cm
274,carex_bullata,inflorescence_length,30cm,8cm
275,carex_bullata,leaf_width,5mm;4.3mm,4.3mm;1.8mm
276,carex_bullata,plant_height,85cm,30cm
277,carex_bushii,fruit_length,2.6mm,2mm
278,carex_bushii,fruit_width,1.4mm;1.7mm,1.1mm;1.4mm
279,carex_bushii,leaf_width,4mm,1.5mm
280,carex_bushii,plant_height,90cm,30cm
281,carex_buxbaumii,branch_quantity,4;3,3;2
282,carex_buxbaumii,leaf_width,3.5mm,2mm
283,carex_buxbaumii,plant_height,75cm,25cm
284,carex_calcifugens,branch_quantity,0.94;0.99,0.88;0.94
285,carex_calcifugens,fruit_length,3.4mm,2.6mm
286,carex_calcifugens,fruit_width,1.9mm,1.4mm
287,carex_calcifugens,inflorescence_length,34cm,19cm
288,carex_calcifugens,leaf_width,4mm,2.6mm
289,carex_calcifugens,plant_height,5.6cm;5.2cm;37cm,5.2cm;2.7cm;14cm
290,carex_californica,fruit_length,2.3mm;2.7mm,2mm;2.3mm
291,carex_californica,fruit_width,2mm,1.6mm
292,carex_californica,inflorescence_length,19cm,4cm
293,carex_californica,leaf_width,5.5mm,1.5mm
294,carex_californica,plant_height,60cm,15cm
295,carex_canescens,fruit_length,1.5mm,1.25mm
296,carex_canescens,fruit_width,1.25mm,1mm
297,carex_canescens,inflorescence_length,15cm;7cm;15cm;12cm;5cm,12cm;5cm;2cm;6cm;3cm
298,carex_canescens,inflorescence_width,10mm,5mm
299,carex_canescens,leaf_width,2mm;shorter;4mm,1.5mm;subequal;2mm
300,carex_canescens,plant_height,90cm;90cm;60cm,15cm;30cm;15cm
301,carex_capillaris,fruit_length,1.7mm,1.2mm
302,carex_capillaris,fruit_width,1mm,0.7mm
303,carex_capillaris,leaf_width,1mm;4mm,0.75mm;1mm
304,carex_capillaris,plant_height,60cm,0cm
305,carex_careyana,fruit_length,6mm,4.5mm
306,carex_careyana,fruit_width,2.8mm,2.4mm
307,carex_careyana,leaf_width,4mm,1mm
308,carex_careyana,plant_height,62cm,34cm
309,carex_caroliniana,fruit_length,2.2mm,1.6mm
310,carex_caroliniana,fruit_width,1.4mm,1mm
311,carex_caroliniana,leaf_width,4mm,1.5mm
312,carex_caroliniana,plant_height,80cm,25cm
313,carex_caryophyllea,inflorescence_length,4cm,2cm
314,carex_caryophyllea,leaf_width,3mm,1.5mm
315,carex_caryophyllea,plant_height,35cm,4cm
316,carex_castanea,fruit_length,2mm,1.5mm
317,carex_castanea,fruit_width,1.5mm,1mm
318,carex_castanea,leaf_width,9mm,2.5mm
319,carex_castanea,plant_height,90cm,40cm
320,carex_cephaloidea,fruit_length,2mm,1.6mm
321,carex_cephaloidea,fruit_width,1.7mm,1.3mm
322,carex_cephaloidea,inflorescence_length,4cm,1.5cm
323,carex_cephaloidea,inflorescence_width,10mm,8mm
324,carex_cephaloidea,leaf_width,5mm;8mm,4mm;5mm
325,carex_cephaloidea,plant_height,120cm,30cm
326,carex_cephalophora,inflorescence_length,2cm,0.6cm
327,carex_cephalophora,inflorescence_width,10mm,5mm
328,carex_cephalophora,leaf_width,2.5mm;5mm,1.9mm;2.5mm
329,carex_cephalophora,plant_height,60cm,20cm
330,carex_chalciolepis,branch_quantity,6,3
331,carex_chalciolepis,leaf_width,5mm,2.5mm
332,carex_chalciolepis,plant_height,50cm,20cm
333,carex_chapmanii,fruit_length,3mm,2.2mm
334,carex_chapmanii,fruit_width,1.6mm,1.2mm
335,carex_chapmanii,leaf_width,3.4mm,0.5mm
336,carex_chapmanii,plant_height,32cm,10cm
337,carex_cherokeensis,fruit_length,2.5mm,2mm
338,carex_cherokeensis,fruit_width,1.7mm,1.2mm
339,carex_cherokeensis,inflorescence_length,20mm,3mm
340,carex_cherokeensis,leaf_width,7mm;3.5mm,2.5mm;1.5mm
341,carex_cherokeensis,plant_height,80mm,30mm
342,carex_chihuahuensis,inflorescence_length,10cm,4cm
343,carex_chihuahuensis,inflorescence_width,15mm,7mm
344,carex_chihuahuensis,plant_height,400cm,0cm
345,carex_chordorrhiza,inflorescence_length,16mm,5mm
346,carex_chordorrhiza,inflorescence_width,12mm,4mm
347,carex_chordorrhiza,leaf_width,3mm,0.4mm
348,carex_chordorrhiza,plant_height,35cm,5cm
349,carex_circinata,plant_height,25cm,5cm
350,carex_collinsii,inflorescence_length,30cm,10cm
351,carex_collinsii,plant_height,75cm,15cm
352,carex_communis,fruit_length,2.3mm,1.4mm
353,carex_communis,fruit_width,1.4mm,1mm
354,carex_communis,leaf_width,5mm,1.8mm;3mm
355,carex_communis,plant_height,60cm,20cm
356,carex_comosa,inflorescence_length,35cm,4cm
357,carex_comosa,leaf_width,16mm,5mm
358,carex_comosa,plant_height,120cm,50cm
359,carex_complanata,fruit_length,2.3mm,1.6mm
360,carex_complanata,fruit_width,1.5mm,0.9mm
361,carex_complanata,leaf_width,4mm,1.5mm
362,carex_complanata,plant_height,75cm,20cm
