,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
174,Carex_brachyathera,plant_height,30cm,60cm,tall;slender
175,Carex_breviaristata,inflorescence_length,15mm;17mm,30mm;30mm,
176,Carex_breviaristata,inflorescence_width,2mm;3mm,3mm;4mm,
177,Carex_breviaristata,leaf_width,3mm,5mm,
178,Carex_breviaristata,plant_height,15cm,35cm,tall;slender
179,Carex_breviculmis,inflorescence_length,10mm;6mm,15mm;15mm,
180,Carex_breviculmis,inflorescence_width,2mm;3mm,3mm;4mm,
181,Carex_breviculmis,leaf_width,3mm;2mm,5mm;3mm,
182,Carex_breviculmis,plant_height,8cm,40cm,tall;slender
183,Carex_brevicuspis,inflorescence_length,3.7cm,7cm,
184,Carex_brevicuspis,inflorescence_size,2.5cm,4cm,
185,Carex_brevicuspis,inflorescence_width,0.9cm,1cm,
186,Carex_brevicuspis,leaf_width,5mm,10mm,
187,Carex_brevicuspis,plant_height,20cm,55cm,tall;short
188,Carex_breviscapa,inflorescence_length,17mm,45mm,
189,Carex_breviscapa,inflorescence_size,3cm,4.5cm,3
190,Carex_breviscapa,inflorescence_width,1mm,1.5mm,thick
191,Carex_breviscapa,leaf_width,4mm,7mm,
192,Carex_breviscapa,nutlet_size,2.5mm,3mm,
193,Carex_breviscapa,plant_height,10cm,20cm,tall
194,Carex_brownii,inflorescence_size,1cm;1cm,2cm;3cm,
195,Carex_brownii,leaf_width,3mm,4mm,
196,Carex_brownii,plant_height,30cm,60cm,tall
197,Carex_brunnea,inflorescence_size,1.5cm,3cm,10
198,Carex_brunnea,leaf_width,2mm,3mm,
199,Carex_brunnea,plant_height,40cm,70cm,tall;slender
200,Carex_burttii,branch_count,2,4,compound
201,Carex_burttii,inflorescence_size,5mm,12mm,
202,Carex_burttii,leaf_width,2mm,3.5mm,
203,Carex_burttii,plant_height,40cm,80cm,
204,Carex_caespititia,inflorescence_length,20mm;12mm,22mm;20mm,
205,Carex_caespititia,inflorescence_width,6mm,7mm,4
206,Carex_caespititia,leaf_width,3mm,4mm,
207,Carex_caespititia,plant_height,15cm,20cm,tall;slender
208,Carex_caespitosa,inflorescence_length,5mm,25mm,
209,Carex_caespitosa,inflorescence_size,20mm,30mm,
210,Carex_caespitosa,inflorescence_width,3mm,5mm,
211,Carex_caespitosa,leaf_width,2mm,3.5mm,
212,Carex_caespitosa,plant_height,40cm,90cm,tall;slender
213,Carex_calcicola,inflorescence_length,1/3;3mm,1/2;11mm,
214,Carex_calcicola,inflorescence_width,7mm,11mm,
215,Carex_calcicola,leaf_width,0.8cm,1.1cm,
216,Carex_calcicola,nutlet_size,3mm,3.5mm,
217,Carex_calcicola,plant_height,50cm,60cm,tall
218,Carex_callitrichos,inflorescence_size,5mm;1mm;5mm,8mm;1.5mm;7mm,
219,Carex_callitrichos,leaf_width,0.8mm;0.2mm,1mm;0.8mm,
220,Carex_callitrichos,plant_height,2cm,6cm,tall
221,Carex_canaliculata,inflorescence_size,1.5cm;7mm,2cm;12mm,
222,Carex_canaliculata,leaf_width,4mm,6mm,
223,Carex_canaliculata,plant_height,18cm,30cm,tall;slender
224,Carex_canescens,inflorescence_length,6mm,10mm,
225,Carex_canescens,inflorescence_width,3mm,4mm,
226,Carex_canescens,leaf_width,2mm,3mm,
227,Carex_canescens,plant_height,25cm,50cm,tall
228,Carex_capillacea,inflorescence_length,4mm;3mm,7mm;6mm,
229,Carex_capillacea,leaf_width,0.5mm,1mm,
230,Carex_capillacea,plant_height,15cm,40cm,tall
231,Carex_capillaris,inflorescence_size,0.5cm;0.8cm,1cm;1.5cm,
232,Carex_capillaris,leaf_width,1.5mm,2mm,
233,Carex_capillaris,plant_height,15cm,40cm,tall;slender
234,Carex_capilliculmis,inflorescence_size,7mm;1.5mm;7mm;2mm,10mm;2mm;10mm;3mm,
235,Carex_capilliculmis,leaf_width,1mm,2.5mm,
236,Carex_capilliculmis,plant_height,15cm,20cm,tall;slender
237,Carex_capilliformis,inflorescence_length,7mm,14mm,10
238,Carex_capilliformis,leaf_width,0.5mm,3mm,
239,Carex_capilliformis,plant_height,6cm;10cm,10cm;50cm,tall
240,Carex_capricornis,inflorescence_length,2cm,3cm,longer
241,Carex_capricornis,inflorescence_size,2cm,3cm,
242,Carex_capricornis,inflorescence_width,1.5cm,2cm,
243,Carex_capricornis,leaf_width,3mm,8mm,
244,Carex_capricornis,nutlet_size,1mm,1.5mm,
245,Carex_capricornis,plant_height,30cm,70cm,tall;shorter
246,Carex_cardiolepis,inflorescence_size,1.5cm;2mm;1cm,2cm;2.5mm;2cm,3
247,Carex_cardiolepis,leaf_width,1mm,2mm,
248,Carex_cardiolepis,nutlet_size,2.5mm,2.8mm,
249,Carex_cardiolepis,plant_height,20cm,40cm,tall;1
250,Carex_caucasica,inflorescence_length,15mm;1.5cm,25mm;3cm,
251,Carex_caucasica,inflorescence_width,5mm;0.6cm,6mm;0.8cm,
252,Carex_caucasica,leaf_width,4mm;3mm;3mm,8mm;8mm;5mm,
253,Carex_caucasica,nutlet_size,1.9mm;1.9mm,2.5mm;2.1mm,2.5
254,Carex_caucasica,plant_height,25cm,70cm,tall
255,Carex_caudispicata,inflorescence_size,2cm,3cm,5
256,Carex_caudispicata,leaf_width,3mm,5mm,
