,species_name,coded_property_name,collapsed_data
176,Carex_confertiflora,maximum_leaf_width,"8mm,12mm"
177,Carex_confertiflora,maximum_plant_height,";60cm,95cm"
178,Carex_continua,maximum_leaf_width,"6mm,8mm"
179,Carex_continua,maximum_plant_height,"60cm,90cm"
180,Carex_coriophora,maximum_leaf_width,"3mm,5mm"
181,Carex_coriophora,maximum_plant_height,";50cm,70cm"
182,Carex_courtallensis,maximum_leaf_width,"0.8cm,2cm"
183,Carex_courtallensis,maximum_plant_height,";35cm,55cm;1.5mm,2mm"
184,Carex_cranaocarpa,maximum_leaf_width,"2mm,3mm"
185,Carex_cranaocarpa,maximum_plant_height,";50cm,80cm"
186,Carex_craspedotricha,maximum_inflorescence_length,"10cm,15cm"
187,Carex_craspedotricha,maximum_leaf_width,"2mm,3mm"
188,Carex_craspedotricha,maximum_plant_height,";30cm,55cm"
189,Carex_crebra,maximum_leaf_width,"0.8mm,1mm"
190,Carex_crebra,maximum_plant_height,";10cm,30cm;0mm,1.5mm"
191,Carex_cremostachys,maximum_leaf_width,"4mm,6mm"
192,Carex_cremostachys,maximum_plant_height,";0cm,90cm"
193,Carex_cruciata,maximum_leaf_width,"4mm,13mm"
194,Carex_cruciata,maximum_plant_height,"40cm,90cm"
195,Carex_cruenta,maximum_leaf_width,"3mm,4mm"
196,Carex_cruenta,maximum_plant_height,";20cm,75cm;"
197,Carex_cryptocarpa,maximum_leaf_width,"5mm,10mm"
198,Carex_cryptocarpa,maximum_plant_height,";30cm,120cm"
199,Carex_cryptostachys,maximum_leaf_width,"6mm,15mm"
200,Carex_cryptostachys,maximum_plant_height,";12cm,30cm"
201,Carex_curaica,maximum_inflorescence_length,"1.5cm,2cm"
202,Carex_curaica,maximum_leaf_width,"3mm,3.5mm"
203,Carex_curaica,maximum_plant_height,";20cm,38cm"
204,Carex_cylindrostachys,maximum_leaf_width,"2mm,3mm"
205,Carex_cylindrostachys,maximum_plant_height,";12cm,20cm;1.5mm,2mm"
206,Carex_dahurica,maximum_inflorescence_length,"4mm,7mm"
207,Carex_dahurica,maximum_inflorescence_width,"4mm,5mm"
208,Carex_dahurica,maximum_leaf_width,";0.5mm,1mm"
209,Carex_dahurica,maximum_plant_height,";10cm,20cm"
210,Carex_dailingensis,maximum_inflorescence_length,";1cm,1.8cm"
211,Carex_dailingensis,maximum_leaf_width,"2.5mm,3.5mm"
212,Carex_dailingensis,maximum_plant_height,";35cm,58cm"
213,Carex_damiaoshanensis,maximum_leaf_width,"2cm,5cm"
214,Carex_damiaoshanensis,maximum_plant_height,"25cm,40cm"
215,Carex_davidii,maximum_leaf_width,"2mm,5mm"
216,Carex_davidii,maximum_plant_height,";20cm,65cm;"
217,Carex_dayuongensis,maximum_leaf_width,"1mm,2mm"
218,Carex_dayuongensis,maximum_plant_height,";20cm,30cm;"
219,Carex_deciduisquama,maximum_leaf_width,"5mm,7mm"
