,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
345,carex_chordorrhiza,inflorescence_length,5mm,16mm,
346,carex_chordorrhiza,inflorescence_width,4mm,12mm,
347,carex_chordorrhiza,leaf_width,0.4mm,3mm,
348,carex_chordorrhiza,plant_height,5cm,35cm,
349,carex_circinata,plant_height,5cm,25cm,
350,carex_collinsii,inflorescence_length,10cm,30cm,
351,carex_collinsii,plant_height,15cm,75cm,
352,carex_communis,fruit_length,1.4mm,2.3mm,
353,carex_communis,fruit_width,1mm,1.4mm,
354,carex_communis,leaf_width,1.8mm;3mm,5mm,
355,carex_communis,plant_height,20cm,60cm,
356,carex_comosa,inflorescence_length,4cm,35cm,
357,carex_comosa,leaf_width,5mm,16mm,
358,carex_comosa,plant_height,50cm,120cm,
359,carex_complanata,fruit_length,1.6mm,2.3mm,
360,carex_complanata,fruit_width,0.9mm,1.5mm,
361,carex_complanata,leaf_width,1.5mm,4mm,
362,carex_complanata,plant_height,20cm,75cm,
363,carex_concinna,fruit_length,1.7mm,2.1mm,
364,carex_concinna,fruit_width,1mm,1.3mm,
365,carex_concinna,leaf_width,1mm,3.1mm,thin
366,carex_concinna,plant_height,5.5cm,20cm,
367,carex_concinnoides,fruit_length,1.9mm,2.5mm,
368,carex_concinnoides,fruit_width,1.3mm,1.6mm,
369,carex_concinnoides,leaf_width,1.7mm,4.5mm,thick
370,carex_concinnoides,plant_height,14cm,37cm,
371,carex_congdonii,branch_quantity,2,4,
372,carex_congdonii,inflorescence_length,7cm,20cm,
373,carex_congdonii,leaf_width,3mm,8mm,
374,carex_congdonii,plant_height,30cm,90cm,
375,carex_conjuncta,branch_count,8,12,
376,carex_conjuncta,inflorescence_length,3cm,7cm,
377,carex_conjuncta,plant_height,0cm,80cm,
378,carex_conoidea,branch_quantity,0.12;0.91;0.21,0.21;0.99;0.91,
379,carex_conoidea,fruit_length,1.8mm,2.6mm,
380,carex_conoidea,fruit_width,1mm;1.2mm,1.2mm;1.4mm,
381,carex_conoidea,leaf_width,2.3mm;3.9mm;3mm,3mm;5.6mm;3.9mm,
382,carex_conoidea,plant_height,2cm,75cm,
383,carex_constanceana,inflorescence_length,2.5cm,4cm,
384,carex_constanceana,inflorescence_width,13mm,15mm,
385,carex_constanceana,leaf_width,2mm,3mm,
386,carex_constanceana,plant_height,25cm,35cm,
387,carex_cordillerana,fruit_length,2.8mm,3.5mm,
388,carex_cordillerana,fruit_width,1.5mm,2.4mm,
389,carex_cordillerana,leaf_width,1.5mm;2mm,5.9mm;5.5mm,widest
390,carex_cordillerana,plant_height,6.8cm,40cm,
391,carex_corrugata,branch_quantity,0.33,0.90,
392,carex_corrugata,fruit_length,0.6;2.4mm;3.1mm;0.65;2.8mm,0.65;2.8mm;3.3mm;0.8;3.1mm,
393,carex_corrugata,fruit_width,1.6mm;1.9mm;1.7mm,1.7mm;2mm;1.9mm,widest
394,carex_corrugata,leaf_width,5.3mm;3.3mm,8mm;5.3mm,
395,carex_corrugata,plant_height,35cm;4cm;15cm,39cm;35cm;90cm,
396,carex_crawei,fruit_length,1.4mm,1.9mm,
397,carex_crawei,fruit_width,1mm,1.8mm,
398,carex_crawei,leaf_width,1.5mm;3mm;1.8mm,4.4mm;4.4mm;3mm,
399,carex_crawei,plant_height,30cm;30cm;2cm,40cm;40cm;30cm,
400,carex_crawfordii,branch_quantity,1.8,3,
401,carex_crawfordii,leaf_width,2mm,4mm,
402,carex_crawfordii,plant_height,60cm;60cm;25cm,85cm;85cm;60cm,
403,carex_crebriflora,fruit_length,2.8mm,4.4mm,
404,carex_crebriflora,fruit_width,1mm,1.8mm,
405,carex_crebriflora,leaf_width,0.5mm,3.4mm,narrower
406,carex_crebriflora,plant_height,17cm,70cm,
407,carex_crinita,inflorescence_length,3.4cm;3.5cm,12cm;11.5cm,
408,carex_crinita,inflorescence_width,3.3mm;4.2mm,7mm;6.8mm,
409,carex_crinita,leaf_width,4.8mm;3.3mm,14mm;10.3mm,
410,carex_crinita,plant_height,40cm;45cm;40cm,150cm;150cm;135cm,
411,carex_cristatella,inflorescence_length,4cm;2cm,4.5cm;4cm,
412,carex_cristatella,inflorescence_width,8mm,15mm,
413,carex_cristatella,leaf_width,3mm,7.5mm,expanded
414,carex_cristatella,plant_height,30cm,100cm,
415,carex_crus-corvi,branch_count,15,25,
416,carex_crus-corvi,inflorescence_length,10cm,20cm,
417,carex_crus-corvi,plant_height,0cm,90cm,
418,carex_cryptolepis,fruit_length,1.2mm,1.5mm,
419,carex_cryptolepis,fruit_width,1mm,1.2mm,
420,carex_cryptolepis,leaf_width,1.5mm,2.9mm,
421,carex_cryptolepis,plant_height,10cm;25cm,50cm;50cm,tallest
422,carex_cumberlandensis,fruit_length,2.2mm,2.9mm,
423,carex_cumberlandensis,fruit_width,1.4mm,1.8mm,
424,carex_cumberlandensis,leaf_width,1.6mm,6.1mm,1-3.5 times wider than bract blades
425,carex_cumberlandensis,plant_height,7cm,27cm,
426,carex_cumulata,inflorescence_length,4cm;1.5cm,5cm;4cm,
427,carex_cumulata,inflorescence_width,7mm,16mm,
428,carex_cumulata,leaf_width,6mm;3mm,8mm;6mm,
429,carex_cumulata,plant_height,20cm,80cm,
430,carex_curatorum,fruit_length,1.2mm,2mm,
431,carex_curatorum,fruit_width,0.8mm,1.2mm,
432,carex_curatorum,plant_height,23cm;23cm;35cm,35cm;35cm;91cm,
433,carex_cusickii,branch_quantity,0,5,
434,carex_cusickii,fruit_length,1.4mm,1.6mm,
435,carex_cusickii,fruit_width,0.7mm,1.1mm,
436,carex_cusickii,leaf_width,5mm;2.5mm,6mm;5mm,
437,carex_cusickii,plant_height,3cm,130cm,
438,carex_dasycarpa,plant_height,13cm,40cm,
439,carex_davisii,fruit_length,2.2mm,2.7mm,
440,carex_davisii,fruit_width,1mm,1.2mm,
441,carex_davisii,leaf_width,3mm;2mm,8mm;6mm,
442,carex_davisii,plant_height,1.5mm;30cm,3mm;100cm,
443,carex_davyi,inflorescence_length,1cm;1.8cm,1.8cm;3cm,
444,carex_davyi,inflorescence_width,6mm,11mm,
445,carex_davyi,leaf_width,1.5mm;2mm,2mm;3mm,
446,carex_davyi,plant_height,23cm,37cm,
447,carex_debilis,fruit_length,1.9mm,2.5mm,
448,carex_debilis,fruit_width,1mm,1.5mm,
449,carex_debilis,inflorescence_length,15mm,50mm,
450,carex_debilis,leaf_width,2mm;1mm,7mm;3.5mm,thick
451,carex_debilis,plant_height,25cm,100cm,
