,species_name,coded_property_name,collapsed_data
265,carex_californica,maximum_leaf_width,5.5mm
266,carex_californica,maximum_plant_height,60cm
267,carex_canescens,maximum_fruit_length,1.5mm
268,carex_canescens,maximum_fruit_width,1.25mm
269,carex_canescens,maximum_inflorescence_length,15cm
270,carex_canescens,maximum_inflorescence_width,10mm
271,carex_canescens,maximum_leaf_width,shorter;4mm
272,carex_canescens,maximum_plant_height,90cm
273,carex_capillaris,maximum_fruit_length,1.7mm
274,carex_capillaris,maximum_fruit_width,1mm
275,carex_capillaris,maximum_plant_height,60cm
276,carex_careyana,maximum_fruit_length,6mm
277,carex_careyana,maximum_fruit_width,2.8mm
278,carex_careyana,maximum_leaf_width,4mm
279,carex_careyana,maximum_plant_height,62cm
280,carex_caroliniana,maximum_fruit_length,2.2mm
281,carex_caroliniana,maximum_fruit_width,1.4mm
282,carex_caroliniana,maximum_leaf_width,4mm
283,carex_caroliniana,maximum_plant_height,80cm
284,carex_caryophyllea,maximum_inflorescence_length,4cm
285,carex_caryophyllea,maximum_leaf_width,3mm
286,carex_caryophyllea,maximum_plant_height,35cm
287,carex_castanea,maximum_fruit_length,2mm
288,carex_castanea,maximum_fruit_width,1.5mm
289,carex_castanea,maximum_leaf_width,9mm
290,carex_cephaloidea,maximum_fruit_length,2mm
291,carex_cephaloidea,maximum_fruit_width,1.7mm
292,carex_cephaloidea,maximum_inflorescence_length,4cm
293,carex_cephaloidea,maximum_inflorescence_width,10mm
294,carex_cephaloidea,maximum_plant_height,120cm
295,carex_cephalophora,maximum_fruit_length,
296,carex_cephalophora,maximum_fruit_width,
297,carex_cephalophora,maximum_inflorescence_length,2cm
298,carex_cephalophora,maximum_inflorescence_width,10mm
299,carex_cephalophora,maximum_plant_height,60cm
300,carex_chalciolepis,maximum_leaf_width,5mm
301,carex_chalciolepis,maximum_plant_height,50cm
302,carex_chapmanii,maximum_fruit_length,3mm
303,carex_chapmanii,maximum_fruit_width,1.6mm
304,carex_chapmanii,maximum_leaf_width,3.4mm
305,carex_chapmanii,maximum_plant_height,32cm
306,carex_cherokeensis,maximum_fruit_length,2.5mm
307,carex_cherokeensis,maximum_fruit_width,1.7mm
308,carex_cherokeensis,maximum_inflorescence_length,20mm
309,carex_cherokeensis,maximum_leaf_width,7mm;3.5mm
310,carex_cherokeensis,maximum_plant_height,80mm
311,carex_chihuahuensis,maximum_fruit_length,
312,carex_chihuahuensis,maximum_fruit_width,
313,carex_chihuahuensis,maximum_inflorescence_length,10cm
314,carex_chihuahuensis,maximum_inflorescence_width,15mm
315,carex_chihuahuensis,maximum_leaf_width,
316,carex_chihuahuensis,maximum_plant_height,400cm
317,carex_chordorrhiza,maximum_inflorescence_length,16mm
318,carex_chordorrhiza,maximum_inflorescence_width,12mm
319,carex_chordorrhiza,maximum_leaf_width,3mm
320,carex_chordorrhiza,maximum_plant_height,35cm
321,carex_circinata,maximum_leaf_width,
322,carex_circinata,maximum_plant_height,25cm
323,carex_collinsii,maximum_fruit_length,
324,carex_collinsii,maximum_fruit_width,
325,carex_collinsii,maximum_inflorescence_length,30cm
326,carex_collinsii,maximum_leaf_width,
327,carex_collinsii,maximum_plant_height,75cm
